ID,Category,Name,Coordinates,Interchange_Rating
1,MRT/LRT,EUNOS MRT STATION,"103.90325246673858,1.319778951553634",0
2,MRT/LRT,CHINESE GARDEN MRT STATION,"103.73259673807368,1.3423528208747413",0
3,MRT/LRT,KHATIB MRT STATION,"103.83297990773863,1.4173833701535437",0
4,MRT/LRT,KRANJI MRT STATION,"103.76216541090051,1.4251776987704452",0
5,MRT/LRT,REDHILL MRT STATION,"103.81681667014934,1.2895627264024503",0
6,MRT/LRT,YEW TEE MRT STATION,"103.74740511413825,1.3975350177934094",0
7,MRT/LRT,PIONEER MRT STATION,"103.69732151293638,1.3375868822047463",0
8,MRT/LRT,COMMONWEALTH MRT STATION,"103.79830451562928,1.3024387353271674",0
9,MRT/LRT,PAYA LEBAR MRT STATION,"103.89306035525192,1.3181120822952754",0
10,MRT/LRT,SIMEI MRT STATION,"103.95337169417603,1.3432028949307242",0
11,MRT/LRT,TAMPINES MRT STATION,"103.94514868864933,1.353301356342431",0
12,MRT/LRT,ADMIRALTY MRT STATION,"103.80098800081262,1.440585001085408",0
13,MRT/LRT,YISHUN MRT STATION,"103.8350050461949,1.4294430808107972",0
14,MRT/LRT,PASIR RIS MRT STATION,"103.94926811824573,1.3729837735794865",0
15,MRT/LRT,CLEMENTI MRT STATION,"103.76529887432669,1.3149544924235912",0
16,MRT/LRT,ALJUNIED MRT STATION,"103.88290604466073,1.316432611657835",0
17,MRT/LRT,ANG MO KIO MRT STATION,"103.84993299389015,1.3693473037885606",0
18,MRT/LRT,EXPO MRT STATION,"103.96154821070824,1.3345497778378088",0
19,MRT/LRT,CHOA CHU KANG MRT STATION,"103.74434094618185,1.3853616928288064",0
20,MRT/LRT,JURONG EAST MRT STATION,"103.742286544005,1.3331526198940624",0
21,MRT/LRT,QUEENSTOWN MRT STATION,"103.80588433389231,1.294860932794984",0
22,MRT/LRT,TUAS LINK MRT STATION,"103.63687867834915,1.3404637656482041",0
23,MRT/LRT,GUL CIRCLE MRT STATION,"103.66055295590829,1.3195052149382032",0
24,MRT/LRT,WOODLANDS MRT STATION,"103.78648513490775,1.4368751282107524",0
25,MRT/LRT,TUAS CRESCENT MRT STATION,"103.64907547830923,1.3210265532422623",0
26,MRT/LRT,KALLANG MRT STATION,"103.87138654135957,1.3114889096421598",0
27,MRT/LRT,TUAS WEST ROAD MRT STATION,"103.63961405603068,1.3299890890491324",0
28,MRT/LRT,BUONA VISTA MRT STATION,"103.79019153517402,1.3071834665473296",0
29,MRT/LRT,DOVER MRT STATION,"103.77863784163824,1.3114052929253044",0
30,MRT/LRT,SEMBAWANG MRT STATION,"103.8200461405486,1.4490508212272915",0
31,MRT/LRT,KEMBANGAN MRT STATION,"103.91294938836371,1.3210382488510815",0
32,MRT/LRT,BUKIT BATOK MRT STATION,"103.74956676385263,1.34903410857667",0
34,MRT/LRT,BOON LAY MRT STATION,"103.70606462259629,1.3386040545032705",0
35,MRT/LRT,BUKIT GOMBAK MRT STATION,"103.75189350208234,1.3587618572614426",0
36,MRT/LRT,MARSILING MRT STATION,"103.77407146126237,1.432514420635639",0
37,MRT/LRT,BEDOK MRT STATION,"103.92998449462085,1.3239799688877432",0
38,MRT/LRT,JOO KOON MRT STATION,"103.67837514285084,1.327717173091677",0
39,MRT/LRT,LAKESIDE MRT STATION,"103.72094926847906,1.344259249394694",0
40,MRT/LRT,TANAH MERAH MRT STATION,"103.94634646062303,1.3271871345383524",0
41,MRT/LRT,YIO CHU KANG MRT STATION,"103.84494728975453,1.3817560461130007",0
42,MRT/LRT,OASIS LRT STATION,"103.91272735563106,1.402286677493705",0
43,MRT/LRT,SAM KEE LRT STATION,"103.90483155051895,1.409612685086604",0
44,MRT/LRT,FARMWAY LRT STATION,"103.88930481043604,1.3971701964580394",0
45,MRT/LRT,KUPANG LRT STATION,"103.88125622197447,1.3982128283971724",0
46,MRT/LRT,RENJONG LRT STATION,"103.8905394271554,1.3867239215279972",0
47,MRT/LRT,BUKIT PANJANG LRT STATION,"103.76301363378569,1.3779098979822",0
48,MRT/LRT,FAJAR LRT STATION,"103.77080858250892,1.3845207961752204",0
50,MRT/LRT,PUNGGOL LRT STATION,"103.90241191198504,1.4051947013024295",0
51,MRT/LRT,SAMUDERA LRT STATION,"103.90215631639114,1.4159017194387642",0
52,MRT/LRT,NIBONG LRT STATION,"103.90031381767348,1.411870458453224",0
53,MRT/LRT,SOO TECK LRT STATION,"103.89720965031772,1.405088584853961",0
54,MRT/LRT,KADALOOR LRT STATION,"103.91648666197361,1.3995848527611061",0
55,MRT/LRT,CORAL EDGE LRT STATION,"103.91258085480962,1.3939092261174832",0
56,MRT/LRT,THANGGAM LRT STATION,"103.875635156456,1.3973181549952196",0
57,MRT/LRT,KEAT HONG LRT STATION,"103.74905551939963,1.3786027659830227",0
58,MRT/LRT,DAMAI LRT STATION,"103.90860354364459,1.4052348361719877",0
59,MRT/LRT,COVE LRT STATION,"103.90596194407671,1.3992819850199294",0
60,MRT/LRT,RIVIERA LRT STATION,"103.91616605898797,1.3945244957690093",0
61,MRT/LRT,SENJA LRT STATION,"103.76236722595078,1.382692295824158",0
62,MRT/LRT,JELAPANG LRT STATION,"103.76450333815912,1.3867030250139176",0
63,MRT/LRT,PETIR LRT STATION,"103.7666689602233,1.3777503338172186",0
64,MRT/LRT,TECK WHYE LRT STATION,"103.75371223219976,1.376684679443904",0
65,MRT/LRT,CHOA CHU KANG LRT STATION,"103.7445537312414,1.3848363599658227",0
66,MRT/LRT,SOUTH VIEW LRT STATION,"103.74529180004262,1.380298287217279",0
67,MRT/LRT,LAYAR LRT STATION,"103.88002960034996,1.3920798387725961",0
68,MRT/LRT,KANGKAR LRT STATION,"103.90217398876608,1.3839789018335358",0
69,MRT/LRT,MERIDIAN LRT STATION,"103.90895021696649,1.3969120530632706",0
70,MRT/LRT,CHENG LIM LRT STATION,"103.89379718083637,1.3962776313358056",0
71,MRT/LRT,PUNGGOL POINT LRT STATION,"103.90665079046649,1.4168485204957642",0
72,MRT/LRT,SUMANG LRT STATION,"103.89855845405019,1.4084524256476925",0
73,MRT/LRT,FERNVALE LRT STATION,"103.87630861136874,1.391885887744099",0
74,MRT/LRT,TONGKANG LRT STATION,"103.88584414990798,1.3893479529596915",0
76,MRT/LRT,PENDING LRT STATION,"103.77127017861255,1.3761428827850453",0
77,MRT/LRT,TECK LEE LRT STATION,"103.90657762270219,1.4127708938635442",0
80,MRT/LRT,BANGKIT LRT STATION,"103.77264907257147,1.3800178972420893",0
81,MRT/LRT,BAKAU LRT STATION,"103.90543910424039,1.3880927037751065",0
82,MRT/LRT,RUMBIA LRT STATION,"103.90597359531118,1.391468496838552",0
83,MRT/LRT,COMPASSVALE LRT STATION,"103.90049245062795,1.394493046198061",0
89,MRT/LRT,RANGGUNG LRT STATION,"103.89753716196984,1.3838854419159148",0
90,MRT/LRT,PHOENIX LRT STATION,"103.75803409838677,1.378618844452898",0
91,MRT/LRT,SEGAR LRT STATION,"103.76959839678055,1.387772130860871",0
92,MRT/LRT,SENGKANG LRT STATION,"103.89544258366469,1.3916093638162625",0
93,MRT/LRT,BRAS BASAH MRT STATION,"103.8506673717784,1.29686168652761",0
94,MRT/LRT,MACPHERSON MRT STATION,"103.8902870313664,1.326345371661255",0
95,MRT/LRT,CITY HALL MRT STATION,"103.85258589234446,1.2929362428460898",0
96,MRT/LRT,TAMPINES EAST MRT STATION,"103.95463446292973,1.3561914830369988",0
97,MRT/LRT,TAMPINES WEST MRT STATION,"103.93843697135364,1.345515305301687",0
98,MRT/LRT,GEYLANG BAHRU MRT STATION,"103.8719006257067,1.3215058380176015",0
99,MRT/LRT,BENDEMEER MRT STATION,"103.86297798747471,1.313672232544493",0
100,MRT/LRT,BENCOOLEN MRT STATION,"103.85038425491675,1.2988642704173563",0
101,MRT/LRT,HARBOURFRONT MRT STATION,"103.82144306908835,1.2654726398620932",0
104,MRT/LRT,KENT RIDGE MRT STATION,"103.78442746062676,1.2934960617448015",0
106,MRT/LRT,PUNGGOL MRT STATION,"103.90207263840725,1.4045467277879453",0
107,MRT/LRT,TANJONG PAGAR MRT STATION,"103.84586422934751,1.2765212466930367",0
108,MRT/LRT,ONE-NORTH MRT STATION,"103.78745750783136,1.2997598785919828",0
110,MRT/LRT,STADIUM MRT STATION,"103.8753503351789,1.302840629633221",0
111,MRT/LRT,BUGIS MRT STATION,"103.85570641401688,1.3004650763152474",0
112,MRT/LRT,SOMERSET MRT STATION,"103.83907516234414,1.300260055065435",0
113,MRT/LRT,ORCHARD MRT STATION,"103.83224145206776,1.3039810124368738",0
114,MRT/LRT,JALAN BESAR MRT STATION,"103.85547701633953,1.3054036422232496",0
115,MRT/LRT,BAYFRONT MRT STATION,"103.8590797651326,1.2818737884915348",0
116,MRT/LRT,SENGKANG MRT STATION,"103.8954846941606,1.3916946260989846",0
117,MRT/LRT,BUKIT BROWN MRT STATION,"103.83068955013684,1.3337288823214393",0
118,MRT/LRT,MOUNTBATTEN MRT STATION,"103.8825280808101,1.3062019048312332",0
119,MRT/LRT,KOVAN MRT STATION,"103.88506485633648,1.3601791711791476",0
120,MRT/LRT,FORT CANNING MRT STATION,"103.84432826960976,1.2924789279174786",0
121,MRT/LRT,FARRER ROAD MRT STATION,"103.80758610574657,1.3175106118957627",0
123,MRT/LRT,DOWNTOWN MRT STATION,"103.85284044403967,1.2794461903787189",0
125,MRT/LRT,ESPLANADE MRT STATION,"103.8555041055269,1.2933216076112346",0
126,MRT/LRT,NICOLL HIGHWAY MRT STATION,"103.86363701849633,1.2997668352679752",0
127,MRT/LRT,CALDECOTT MRT STATION,"103.8395298207641,1.3376745080443357",0
128,MRT/LRT,MARINA BAY MRT STATION,"103.85459777754355,1.2764273547505993",0
130,MRT/LRT,LABRADOR PARK MRT STATION,"103.80293962041993,1.2723327315964705",0
131,MRT/LRT,CHINATOWN MRT STATION,"103.84342677594405,1.2843595782329758",0
134,MRT/LRT,TAN KAH KEE MRT STATION,"103.80732220761244,1.3258832089224415",0
135,MRT/LRT,TIONG BAHRU MRT STATION,"103.82701943092408,1.2861933928589773",0
136,MRT/LRT,HILLVIEW MRT STATION,"103.76741825445679,1.3623448685278572",0
137,MRT/LRT,KING ALBERT PARK MRT STATION,"103.78380665887377,1.335665120759763",0
138,MRT/LRT,MATTAR MRT STATION,"103.88324750918025,1.3268767147126104",0
139,MRT/LRT,UBI MRT STATION,"103.8992525249775,1.3299568257038388",0
140,MRT/LRT,BEAUTY WORLD MRT STATION,"103.77579428529513,1.341223175711347",0
141,MRT/LRT,KAKI BUKIT MRT STATION,"103.90845973446473,1.334967301564284",0
143,MRT/LRT,BEDOK NORTH MRT STATION,"103.91797832977373,1.334742116758396",0
144,MRT/LRT,DHOBY GHAUT MRT STATION,"103.84611515467653,1.2987013066295279",0
146,MRT/LRT,WOODLEIGH MRT STATION,"103.87081830937528,1.3391900455251486",0
147,MRT/LRT,NOVENA MRT STATION,"103.84382561881564,1.3204407908478955",0
148,MRT/LRT,SERANGOON MRT STATION,"103.87357484685865,1.3497078753792582",0
149,MRT/LRT,BEDOK RESERVOIR MRT STATION,"103.93223462362495,1.3366078298104889",0
150,MRT/LRT,MARINA SOUTH PIER MRT STATION,"103.86285976963768,1.2713367113291665",0
151,MRT/LRT,FARRER PARK MRT STATION,"103.8541771415317,1.3123598402121333",0
153,MRT/LRT,BARTLEY MRT STATION,"103.87975890622818,1.3428283377375758",0
154,MRT/LRT,DAKOTA MRT STATION,"103.88866260393202,1.308382639266994",0
155,MRT/LRT,PASIR PANJANG MRT STATION,"103.79135031315468,1.2762135226853317",0
157,MRT/LRT,CLARKE QUAY MRT STATION,"103.84655520929545,1.288386024201138",0
158,MRT/LRT,BISHAN MRT STATION,"103.84814396447486,1.35083898769384",0
160,MRT/LRT,MARYMOUNT MRT STATION,"103.83942313256992,1.3487072630182217",0
161,MRT/LRT,HAW PAR VILLA MRT STATION,"103.78181045132068,1.2825421566428978",0
162,MRT/LRT,LORONG CHUAN MRT STATION,"103.86415193804753,1.3516121710256268",0
163,MRT/LRT,LAVENDER MRT STATION,"103.86282920810696,1.3073570200955593",0
166,MRT/LRT,TAI SENG MRT STATION,"103.8881948611533,1.3354333222229111",0
167,MRT/LRT,ROCHOR MRT STATION,"103.85242168070484,1.303916483964584",0
169,MRT/LRT,LITTLE INDIA MRT STATION,"103.8496469665727,1.306800025312331",0
170,MRT/LRT,STEVENS MRT STATION,"103.8260244022441,1.3200655570067263",0
171,MRT/LRT,BUKIT PANJANG MRT STATION,"103.76153511473323,1.3790021167176651",0
172,MRT/LRT,CASHEW MRT STATION,"103.76469442231105,1.3693698310643405",0
173,MRT/LRT,SIXTH AVENUE MRT STATION,"103.79724631666136,1.33078638736398",0
174,MRT/LRT,TOA PAYOH MRT STATION,"103.84750176434052,1.3326289871231982",0
175,MRT/LRT,WOODLANDS SOUTH MRT STATION,"103.7938508924381,1.4272599787112434",0
176,MRT/LRT,POTONG PASIR MRT STATION,"103.8690556652726,1.3313795246192912",0
177,MRT/LRT,HOUGANG MRT STATION,"103.89238051891202,1.3712922916785348",0
178,MRT/LRT,BOON KENG MRT STATION,"103.86168650187011,1.31939570602305",0
179,MRT/LRT,UPPER CHANGI MRT STATION,"103.96147178867872,1.3417374838931937",0
180,MRT/LRT,CHANGI AIRPORT MRT STATION,"103.98836465850562,1.3573145453309752",0
182,MRT/LRT,BRADDELL MRT STATION,"103.84679784541262,1.340471684451096",0
183,MRT/LRT,BUANGKOK MRT STATION,"103.89312156478562,1.3828778581472214",0
184,MRT/LRT,PROMENADE MRT STATION,"103.86099915588731,1.293218051489324",0
185,MRT/LRT,BOTANIC GARDENS MRT STATION,"103.81498275034427,1.3221101929847618",0
186,MRT/LRT,RAFFLES PLACE MRT STATION,"103.85146171209142,1.2841256105732015",0
187,MRT/LRT,HOLLAND VILLAGE MRT STATION,"103.79619182386182,1.3118347904021292",0
188,MRT/LRT,OUTRAM PARK MRT STATION,"103.8391264975839,1.2814049781301338",0
189,MRT/LRT,TELOK BLANGAH MRT STATION,"103.80974863683596,1.270753211458576",0
190,MRT/LRT,TELOK AYER MRT STATION,"103.84830280619303,1.2822895361922515",0
191,MRT/LRT,NEWTON MRT STATION,"103.83798529963303,1.312320099555636",0
193,MRT/LRT,CANBERRA MRT STATION,"103.82971180026053,1.4431366997193924",0
192,MRT/LRT,WOODLANDS NORTH MRT STATION,"103.78569270000908,1.4482924998706557",0
199,MRT/LRT,HUME MRT STATION,"103.76909924150836,1.3545176075254861",0
198,MRT/LRT,SPRINGLEAF MRT STATION,"103.81808184986295,1.3981608610259515",0
197,MRT/LRT,LENTOR MRT STATION,"103.83646948691451,1.3850619469262826",0
196,MRT/LRT,MAYFLOWER MRT STATION,"103.83682393201515,1.3720866386741983",0
195,MRT/LRT,BRIGHT HILL MRT STATION,"103.83293595783661,1.3633080980958054",0
194,MRT/LRT,UPPER THOMSON MRT STATION,"103.83293816886086,1.3544118531277305",0
193,MRT/LRT,MOUNT PLEASANT MRT STATION,"103.83434270019094,1.328584799954836",0
192,MRT/LRT,NAPIER MRT STATION,"103.8190299001106,1.3073746004453448",0
191,MRT/LRT,ORCHARD BOULEVARD MRT STATION,"103.82342909955511,1.3024959004162495",0
190,MRT/LRT,GREAT WORLD MRT STATION,"103.83330329952197,1.2952738000849748",0
189,MRT/LRT,HAVELOCK MRT STATION,"103.83346880006599,1.2885188999755657",0
188,MRT/LRT,MAXWELL MRT STATION,"103.84335720058014,1.2805223002980135",0
187,MRT/LRT,SHENTON WAY MRT STATION,"103.84988970012093,1.2779306005542705",0
186,MRT/LRT,MARINA SOUTH MRT STATION,"103.86153849995458,1.2736344008476006",0
185,MRT/LRT,GARDENS BY THE BAY MRT STATION,"103.86757350065143,1.278961000730514",0
184,MRT/LRT,TANJONG RHU MRT STATION,"103.87309396833129,1.2972265357420791",0
183,MRT/LRT,KATONG PARK MRT STATION,"103.88507014303248,1.2982876917262904",0
182,MRT/LRT,TANJONG KATONG MRT STATION,"103.89689749334383,1.2991710647057952",0
181,MRT/LRT,MARINE PARADE MRT STATION,"103.90451536890733,1.302372555177328",0
180,MRT/LRT,MARINE TERRACE MRT STATION,"103.91326886386229,1.3066753376716862",0
179,MRT/LRT,SIGLAP MRT STATION,"103.92877398251082,1.3098184898249519",0
178,MRT/LRT,BAYSHORE MRT STATION,"103.94062423796207,1.3122667072181304",0
177,MRT/LRT,BEDOK SOUTH MRT STATION,"103.9479193068265,1.3176112141699832",0
176,MRT/LRT,SUNGEI BEDOK MRT STATION,"103.9526950737306,1.3186348121033453",0
